JobID|CPUTimeRAW|
17831|0|
17831.batch|0|
17831.extern|0|
17832|6|
17832.batch|6|
17832.extern|6|
17834|1|
17834.batch|1|
17834.extern|1|
17835|2|
17835.batch|2|
17835.extern|2|
17836|240|
17836.batch|240|
17836.extern|240|
17837|1680|
17837.batch|1680|
17837.extern|1680|
17838|2|
17838.batch|2|
17838.extern|2|
17839|40|
17839.batch|40|
17839.extern|40|
17840|0|
17840.batch|0|
17840.extern|0|
17841|360|
17841.batch|360|
17841.extern|360|
17842|1|
17842.batch|1|
17842.extern|1|
17843|40|
17843.batch|40|
17843.extern|40|
17844|40|
17844.batch|40|
17844.extern|40|
17845|0|
17845.batch|0|
17845.extern|0|
17846|1|
17846.batch|1|
17846.extern|1|
17847|3|
17847.batch|3|
17847.extern|3|
17848|280|
17848.batch|280|
17848.extern|280|
17849|2040|
17849.batch|2040|
17849.extern|2040|
17850|2|
17850.batch|2|
17850.extern|2|
17851|40|
17851.batch|40|
17851.extern|40|
17852|40|
17852.batch|40|
17852.extern|40|
17853|160|
17853.batch|160|
17853.extern|160|
17854|2|
17854.batch|2|
17854.extern|2|
17855|0|
17855.batch|0|
17855.extern|0|
17856|40|
17856.batch|40|
17856.extern|40|
17857|1|
17857.batch|1|
17857.extern|1|
17858|1|
17858.batch|1|
17858.extern|1|
17859|2|
17859.batch|2|
17859.extern|2|
17860|240|
17860.batch|240|
17860.extern|240|
17861|400|
17861.batch|400|
17861.extern|400|
17862|1|
17862.batch|1|
17862.extern|1|
17863|40|
17863.batch|40|
17863.extern|40|
17864|40|
17864.batch|40|
17864.extern|40|
17865|160|
17865.batch|160|
17865.extern|160|
17866|1|
17866.batch|1|
17866.extern|1|
17867|0|
17867.batch|0|
17867.extern|0|
17868|40|
17868.batch|40|
17868.extern|40|
17869|0|
17869.batch|0|
17869.extern|0|
17870|5|
17870.batch|5|
17870.extern|5|
17871|1|
17871.batch|1|
17871.extern|1|
17872|1|
17872.batch|1|
17872.extern|1|
17873|2|
17873.batch|2|
17873.extern|2|
17874|240|
17874.batch|240|
17874.extern|240|
17875|1600|
17875.batch|1600|
17875.extern|1600|
17876|2|
17876.batch|2|
17876.extern|2|
17877|40|
17877.batch|40|
17877.extern|40|
17878|0|
17878.batch|0|
17878.extern|0|
17879|360|
17879.batch|360|
17879.extern|360|
17880|2|
17880.batch|2|
17880.extern|2|
17881|40|
17881.batch|40|
17881.extern|40|
17882|80|
17882.batch|80|
17882.extern|80|
17883|1|
17883.batch|1|
17883.extern|1|
17884|2|
17884.batch|2|
17884.extern|2|
17885|240|
17885.batch|240|
17885.extern|240|
17886|1960|
17886.batch|1960|
17886.extern|1960|
17887|1|
17887.batch|1|
17887.extern|1|
17888|40|
17888.batch|40|
17888.extern|40|
17889|0|
17889.batch|0|
17889.extern|0|
