species,method,genome_coverage,hic_coverage,grouping,order,orientation,accuracy,edit_distance,seconds,scaffold_count,scaffold_largest,scaffold_n50,reference_count,reference_largest,reference_n50
scerevisiae,salsa,20x,1x,0.40511140798910705,0.0,0.0,0.237658407648337,95.0,10,121,620710,176516,17.0,1531933.0,924431.0
scerevisiae,salsa,20x,500x,0.6819680712142421,0.8094403063547331,0.8094403063547331,0.7611714087855821,37.0,312,30,3527970,1084955,17.0,1531933.0,924431.0
scerevisiae,salsa,20x,50x,0.686572478881423,0.748008079169118,0.748008079169118,0.714556836209507,42.0,33,38,1597402,888785,17.0,1531933.0,924431.0
scerevisiae,salsa,20x,5x,0.40511140798910705,0.0,0.0,0.237658407648337,95.0,7,121,620710,176516,17.0,1531933.0,924431.0
scerevisiae,salsa,30x,100x,0.623858243843746,0.682050525340933,0.682050525340933,0.635334022792005,17.0,58,27,2630496,1182347,17.0,1531933.0,924431.0
scerevisiae,salsa,40x,100x,0.7723759939468261,0.7833838673326791,0.7833838673326791,0.7331384835297641,10.0,59,15,2041389,1100400,17.0,1531933.0,924431.0
scerevisiae,salsa,500kb,100x,0.6096628033568491,0.9177903026931891,0.9177903026931891,0.7805291638099691,9.0,44,12,2688139,1906124,17.0,1531933.0,924431.0
scerevisiae,salsa,50kb,100x,0.718102544822737,0.9424599051143421,0.9424599051143421,0.9177054487890001,24.0,59,19,1767000,976316,17.0,1531933.0,924431.0
scerevisiae,salsa,50x,100x,0.543057382721143,0.5146698124107391,0.5146698124107391,0.576565023914259,18.0,56,24,2553670,1908248,17.0,1531933.0,924431.0
scerevisiae,salsa,60x,100x,0.8383362790900311,1.0,1.0,0.841455869633137,4.0,41,16,1556283,1091928,17.0,1531933.0,924431.0
scerevisiae,salsa,70x,100x,0.798938813062494,0.6336451869809121,0.6336451869809121,0.8064629788593211,6.0,44,25,1548789,1091600,17.0,1531933.0,924431.0
scerevisiae,salsa,80x,100x,0.695159120934497,0.381129995562326,0.381129995562326,0.760033307543678,11.0,38,33,2634792,1019382,17.0,1531933.0,924431.0
scerevisiae,salsa,90x,100x,0.8131145422800481,0.222801254383191,0.222801254383191,0.707003436927583,11.0,41,25,1539813,1091493,17.0,1531933.0,924431.0
